epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,1158.51,1.03329,0.86713,0.95505,0.94626,0.99543,0.97929,0.70766,0.99599,0.82056,0.90768,0.000208,0.000208,0.000208
74,1175.07,1.09693,0.89997,0.96313,0.94773,0.99463,0.97929,0.71853,0.99118,0.80947,0.90717,0.000197,0.000197,0.000197
75,1191.39,0.98843,0.8242,0.93949,0.94773,0.99463,0.97929,0.71853,0.99118,0.80947,0.90717,0.000186,0.000186,0.000186
76,1206.66,1.01741,0.8313,0.93239,0.95095,0.99396,0.97929,0.72482,0.97107,0.80438,0.9052,0.000175,0.000175,0.000175
77,1222.21,0.97869,0.79607,0.9184,0.95293,0.99406,0.97929,0.73516,0.9554,0.79535,0.9039,0.000164,0.000164,0.000164
78,1237.72,1.06304,0.8263,0.94707,0.95583,0.99572,0.97524,0.75049,0.92765,0.80748,0.89915,0.000153,0.000153,0.000153
79,1252.99,1.02129,0.94763,0.95794,0.95583,0.99572,0.97524,0.75049,0.92765,0.80748,0.89915,0.000142,0.000142,0.000142
80,1268.12,1.04764,0.83989,0.95533,0.95949,0.99778,0.97524,0.76114,0.91314,0.81771,0.89632,0.000131,0.000131,0.000131
81,1283.74,1.025,0.88699,0.93758,0.95997,1,0.97524,0.75794,0.91401,0.80316,0.89641,0.00012,0.00012,0.00012
82,1298.71,1.00296,0.85801,0.9328,0.96362,0.99731,0.97524,0.75949,0.91696,0.78568,0.89716,0.000109,0.000109,0.000109
83,1313.59,1.18514,0.95073,0.98138,0.96362,0.99731,0.97524,0.75949,0.91696,0.78568,0.89716,9.8e-05,9.8e-05,9.8e-05
84,1328.94,1.04889,0.82362,0.96515,0.96278,1,0.97524,0.75797,0.92382,0.78052,0.89663,8.7e-05,8.7e-05,8.7e-05
85,1343.92,0.99843,0.94038,0.95115,0.9613,1,0.97929,0.7429,0.93701,0.78515,0.89783,7.6e-05,7.6e-05,7.6e-05
86,1359.36,0.95658,0.7928,0.91115,0.9572,0.99766,0.97929,0.74037,0.95284,0.79228,0.89917,6.5e-05,6.5e-05,6.5e-05
87,1373.67,0.98889,0.83516,0.95275,0.9572,0.99766,0.97929,0.74037,0.95284,0.79228,0.89917,5.4e-05,5.4e-05,5.4e-05
88,1388.79,1.00822,0.79738,0.927,0.95646,0.9981,0.97929,0.73359,0.9573,0.78852,0.89873,4.3e-05,4.3e-05,4.3e-05
89,1403.69,1.01661,0.79512,0.93541,0.95765,0.99931,0.97524,0.73099,0.95943,0.78177,0.89893,3.2e-05,3.2e-05,3.2e-05
90,1418.46,0.99935,0.79268,0.92964,0.95953,0.99934,0.97524,0.72885,0.95718,0.77368,0.89902,2.1e-05,2.1e-05,2.1e-05
1,11.8815,3.09036,4.67892,1.96456,0.00161,0.04762,0.00207,0.00021,2.31151,4.41276,1.43448,5e-05,5e-05,5e-05
2,21.6709,2.09355,4.42233,1.467,0.00645,0.28571,0.0367,0.02122,1.86611,4.16985,1.17848,0.00010879,0.00010879,0.00010879
3,37.4092,1.67154,4.12765,1.29951,0.00556,0.36111,0.14244,0.08577,1.38524,4.09317,1.04877,0.00016626,0.00016626,0.00016626
4,53.297,1.5672,3.95605,1.19132,0.00821,0.48413,0.17603,0.11188,1.43661,4.01069,1.03236,0.00022241,0.00022241,0.00022241
5,69.0817,1.31172,3.53014,1.09635,0.00928,0.50794,0.17334,0.09177,1.49339,3.8643,1.00964,0.00027724,0.00027724,0.00027724
6,84.6841,1.29491,3.0935,1.05027,1,0.10491,0.21093,0.11213,1.27291,3.6736,0.98543,0.00033075,0.00033075,0.00033075
7,100.494,1.31515,2.84215,1.08813,0.99082,0.16667,0.36742,0.22387,1.2011,3.37195,0.9513,0.00038294,0.00038294,0.00038294
